3,PIPELINE/CORMICK GRI,SHADOW KING/AMAHL FA,1
4,NIGHTCRAWLER/KURT WA,WONG,1
8,NIGHTCRAWLER/KURT WA,PIERCE DONALD,4
9,SABRETOOTH/VICTOR CR,SELENE,1
10,HUDSON HEATHER,THOR III DOPPELGANGE,2
13,BOOMSLANG/,VISION,1
14,ANDROMEDA/ANDROMEDA,BLACK PANTHER/T'CHAL,2
17,DEATH,ETERNITY/ADAM QADMON,7
18,CONSTRICTOR/FRANK PA,DAREDEVIL/MATT MURDO,2
22,GREEN GOBLIN/NORMAN,IONELLO JASON,8
24,GHOST RIDER II/JOHNN,SAGITTARIUS/HARLAN V,1
26,IRON FIST/DANIEL RAN,SKIDS/SALLY BLEVINS,1
29,NALES DET. REBECCA,ROBERTSON RANDY,1
30,CHARCOAL/CHARLIE BUR,GARGOYLE II/ISAAC CH,1
35,ORACLE/LADY SIBYL,PSYLOCKE/ELISABETH B,3
37,KLAW/ULYSSES KLAW,PHARAOH RAMA-TUT,1
41,FANDRAL [ASGARDIAN],HUMAN TORCH/JOHNNY S,4
42,DEVLOR,HAWK,1
43,COUNT NEFARIA LUCHI,POWER MAN/ERIK JOSTE,8
47,HUMAN TORCH/JOHNNY S,TAI II,1
51,DE LA FONTAINE CONT,KINGPIN/WILSON FISK,3
56,DEATHLOK III/MICHAEL,DR. OCTOPUS/OTTO OCT,4
58,HECTOR II,QUICKSILVER/PIETRO M,4
61,HYDROMAN/MORRIE BENC,SILVER SABLE,3
62,BINARY/CAROL DANVERS,S'YM,1
64,CERISE II [SHI'AR],REYES DR. CECELIA,1
67,DAGGER/TANDY BOWEN,ZARRKO ARTHUR,1
69,CAPTAIN AMERICA,JAMESON COL. JOHN,41
73,STRIDER,USAGENT/CAPTAIN JOHN,1
75,N'ASTIRH,SOUTHERN CANDY,2
76,SILVERMANE/SILVIO MA,THOMPSON EUGENE FLA,5
82,DR. DOOM/VICTOR VON,LIZARD/DR. CURTIS CO,12
83,COACHWHIP,RATTLER,10
85,WOLFSBANE/RAHNE SINC,X-MAN/NATHAN GREY,2
86,BOOMER/TABITHA SMITH,MACTAGGERT MOIRA KI,17
87,APOCALYPSE/EN SABAH,NIGHTCRAWLER/KURT WA,5
88,POLARIS/LORNA DANE,PORCUPINE/ALEX GENTR,1
90,MANTIS/? BRANDT,SAGITTARIUS/HARLAN V,3
95,IRON MAN V/TEEN TONY,MARVEL GIRL/JEAN GRE,5
98,ANT-MAN/DR. HENRY J.,RATTLER,4
99,CAPTAIN AMERICA,MOON KNIGHT/MARC SPE,13
101,ANT-MAN/DR. HENRY J.,BOLT II/CHRIS BRADLE,2
104,FITZROY TREVOR,PROFESSOR X/CHARLES,3
107,CARGIL/JOANNA CARGIL,KINCAID DR. JANE FO,2
118,TWO-GUN KID,WONDER MAN/SIMON WIL,7
128,CORBEAU DR. PETER,LEE STAN,1
130,STARSHINE II/BRANDY,SUNSPOT/ROBERTO DACO,1
137,BLACK WIDOW/NATASHA,KARNAK [INHUMAN],5
138,HUMAN TORCH/JOHNNY S,SAXON STARR,1
147,CH'OD,STARBOLT,5
149,BLACK RACER/,MISTER HYDE/CALVIN Z,2
151,AURORA/JEANNE-MARIE,DIAMOND LIL/LILLIAN,23
154,DR. DRUID/ANTHONY LU,FIREBIRD/BONITA JUAR,1
155,JUGGERNAUT/CAIN MARK,ROGUE /,11
156,BLACK KING/SEBASTIAN,POLARIS/LORNA DANE,1
160,AHAB/RORY CAMPBELL,GAMMENON [CELESTIAL],1
161,BANNER BETTY ROSS T,HELA [ASGARDIAN],2
165,DR. STRANGE/STEPHEN,NIGHTMARE/EDVARD HAB,28
166,BUZZ,SPIDER-MAN/PETER PAR,12
167,GEE/ALEX POWER,SPEEDBALL/ROBBIE BAL,8
170,COOPER DR. VALERIE,PROFESSOR X/CHARLES,23
171,CORTEZ FABIAN,IRON FIST/DANIEL RAN,4
172,FURY COL. NICHOLAS,TRITON,6
180,ARISHEM [CELESTIAL],HAWK,2
181,AHAB/RORY CAMPBELL,MAGNETO/MAGNUS/ERIC,4
182,MACHINE MAN/X-51,MIMIC/CALVIN RANKIN,2
187,PROFESSOR X/CHARLES,SUPREME INTELLIGENCE,4
188,BINARY/CAROL DANVERS,BOLT II/CHRIS BRADLE,2
191,CHARCOAL/CHARLIE BUR,MENTALLO,3
