hero,weight
JARVIS EDWIN | TIME,25
KITAGOWA DR. KITTY,8
ZEITGEIST II/AXEL CL,10
AUSTIN TERRY,40
PIECEMEAL/GILBERT BE,102
WILSON DUBOSE,24
KARLSON KAREN,10
STEELE BOBBY,240
REILLY MAVIS,23
GUTHRIE JOSH,34
ROSELLINI ROBERTA,15
LOGA II,169
HARRIS EDDIE,93
MCKENZIE LEONARD,23
MODRED THE MYSTIC,150
DR. FAUSTUS,56
BLACK CYRUS,10
DEATHRAVEN/JOSHUA RA,14
GATOR LORD,326
EPOCH,297
TIMBERIUS,224
CHEMISTRO III,32
OMNIBUS/LT. DALLAS,109
GRIS-GRIS,108
WHIZZER III/JAMES SA,312
KORATH THE PURSUER,132
OMEGA RED/ARKADY ROS,252
WIZARD/BENTLEY WITTM,766
MORGAN DR. VIVIAN,40
SCIMITAR,20
CRIMEWAVE/,9
CYBERTOOTH/YEN HSIEH,47
CANDLER OWEN,11
FALLON RIGBY,34
JONES RICARDO,7
FRANKLIN JEREMY,27
TAL GENERAL,11
JACKSON CURTISS,154
TITHE COLLECTOR,11
HOLDSWORTH PARKER,12
KRAY D'VON,4
SAVANNAH LOU-ANN,29
PIPER,111
DAVIDOFF,24
CORDITE,11
VESTA,25
HYBRID/JAMES JIMMY M,57
CAPTAIN HIP/FRED MAC,75
NOM,87
QABIRI,22
MINOR DOMO,16
BROTHER VOODOO | MUT,48
TIMEBOMB/LOUIS JOUBE,17
MODEM/,8
NOX,37
NOY,31
GENESIS/TYLER DAYSPR,100
WILD BLOOD,32
WU LEIKO,406
TEXAS TWISTER/DREW D,317
HARGEN,89
FIREBOLT,1
PEATOR,395
NAUTILUS,4
THAIS,20
KAISHEK HAAN,19
GRIZZLY/MAXWELL MARK,78
THUMBELLINA,97
WHITE QUEEN/EMMA FRO,1789
CONDOR,65
MOTHER SUPERIOR,143
KLINE MR.,54
WU SONIA,8
FERA,31
LEESHA,5
CASSIOPEIA,83
BUTTONS,18
ROMITA JOHN,10
GRIMM BEN | MUTANT,72
CHINOOK,30
GADRIEL,22
LOOPNER LEXINGTON,4
DR. SPECTRUM II/DR.,110
BIG MAN/FREDERICK FO,222
BARRENOS OMAR,52
MOONDANCER,25
MR. X,17
24-HOUR MAN/EMMANUEL,5
GENECIDE,44
SYNRAITH,34
FALLEN | MUTANT X-VE,215
BOULDER/,19
OZYMANDIAS,228
BARRIER/,7
GARCIA REV.,35
THENA,848
MUSTANG/,24
TALISMAN,160
RAVEN HELEN,17
PEMBROKE,48
BARRINGTON,14
ORPHAN-MAKER/PETER,116
HOARFROST/,42
SAT-YR-9,136
BERYLLIUM,60
KREDDICK,125
TINKERER,142
ULTRA-MAX,3
TOM THUMB/THOMAS THO,272
KIMBLE DR.,13
COMMANDER COURAGE/,38
ESTAVES MARIE,17
HAVERSHAW JASON,11
SAWYER RYAN,16
SONIC,41
LANGTREE GINA,12
ANAIS,23
EPSTEIN MRS.,8
GREEN GOBLIN IV/PHIL,143
MULDOON TEXAS JACK,22
BENNETT MITCH,10
PHAE-DOR,39
PROWLER III/RICK LAW,25
BLOOD WRAITH/SEAN DO,95
NICODEMUS II,36
COURTNEY DELPHINE,68
KRAGG GEN.,7
BONES/ELIZABETH BLIS,45
DETHSTRYK,3
LIN MEI,9
SPIRAL,608
VOLGA BELLE/,28
FEROCIA/,124
SHROUD/MAXIMILLIAN Q,374
CAPTAIN TERROR/DAN K,17
CAT II,25
BRICKMAN SEN. MILES,74
PIRANHA,30
ABSORBING MAN/CARL C,988
CLARK SARAH,162
CAT IV,3
HILDEBRANT DR.,4
TRITON DOPPELGANGER,136
ABCISSA,23
BUSHMASTER II/QUINCY,256
POTTS VIRGINIA PEPP,6
SUN LIN,152
GANYMEDE,10
PARKER MAY II,24
SMITH SIR DENIS NAY,377
MR. FEAR III/PROF. L,80
SKULLBUSTER,107
MCKENZIE SCARLETT,25
TRAVELER,10
FURY NICK | MUTANT,57
CUFFS/,32
THALLIUM,52
LANN,62
MYSTERIA/,146
HEADHUNTER/,41
SHARPE ROSALINDE,211
HAMIR,64
CHERRYH RANDOLPH WI,47
YAP,154
LUCAS JAMES JR.,19
PETERS NIGEL,3
JUSUR,11
HUNTER STEVIE,538
KROTOK,11
BLOODHOUND/,8
CROWE GERONIMO,15
FORRESTER CAPT. ALE,264
SPAT,60
MAINSPRING,34
ATALANTA,275
TRASK,14
PURSUER,19
PURL DR. NOAH,28
SISTER CHLOE,40
PSYNAPSE,187
CLOUD,226
MR. PAYBACK/,36
CEREBRO MARK XIII |,19
JACKAL II/WARREN,13
BURGOS CARL,6
WOLVERINE/LOGAN,10353
URSULA LADY,269
JEFFRIES DR.,84
SPYMASTER II,70
SENTRY IV/VAL,68
STRONG GUY DOPPELGAN,125
BEACH GINGER,138
JENSKOT/ALIYA,14
YRIK,32
AGONY/,20
SHULK,29
CHTYLOK,18
MARVEL BOY/MARTIN BU,7
EXITAR,9
SCRIBE,59
WHEELER M'KONI MARY,22
HOFFMAN ALICE,7
LEONUS/LIONUS [INHUM,206
CAPTAIN ULTRA/GRIFFI,107
KUBIK,52
VOGE TULLAMORE,54
MAGUS II,109
TAKAHAMA JANE,33
CHANG DR. PHILLIP,212
